op,op_type,source_path,load_time_deps,runtime_deps,dependency_groups,notes
optimize_query_mapper,mapper,data_juicer/ops/mapper/optimize_query_mapper.py,,,,
optimize_response_mapper,mapper,data_juicer/ops/mapper/optimize_response_mapper.py,,,,
pair_preference_mapper,mapper,data_juicer/ops/mapper/pair_preference_mapper.py,loguru; pydantic,,core,
punctuation_normalization_mapper,mapper,data_juicer/ops/mapper/punctuation_normalization_mapper.py,,,,
python_file_mapper,mapper,data_juicer/ops/mapper/python_file_mapper.py,,,,
python_lambda_mapper,mapper,data_juicer/ops/mapper/python_lambda_mapper.py,,,,
query_intent_detection_mapper,mapper,data_juicer/ops/mapper/query_intent_detection_mapper.py,,,,
query_sentiment_detection_mapper,mapper,data_juicer/ops/mapper/query_sentiment_detection_mapper.py,,,,
query_topic_detection_mapper,mapper,data_juicer/ops/mapper/query_topic_detection_mapper.py,,,,
relation_identity_mapper,mapper,data_juicer/ops/mapper/relation_identity_mapper.py,loguru; pydantic,,core,
remove_bibliography_mapper,mapper,data_juicer/ops/mapper/remove_bibliography_mapper.py,regex,,core,
remove_comments_mapper,mapper,data_juicer/ops/mapper/remove_comments_mapper.py,regex,,core,
remove_header_mapper,mapper,data_juicer/ops/mapper/remove_header_mapper.py,regex,,core,
remove_long_words_mapper,mapper,data_juicer/ops/mapper/remove_long_words_mapper.py,,,,
remove_non_chinese_character_mapper,mapper,data_juicer/ops/mapper/remove_non_chinese_character_mapper.py,regex,,core,
remove_repeat_sentences_mapper,mapper,data_juicer/ops/mapper/remove_repeat_sentences_mapper.py,regex,,core,
remove_specific_chars_mapper,mapper,data_juicer/ops/mapper/remove_specific_chars_mapper.py,regex,,core,
remove_table_text_mapper,mapper,data_juicer/ops/mapper/remove_table_text_mapper.py,pydantic; regex; typing-extensions,,core,
remove_words_with_incorrect_substrings_mapper,mapper,data_juicer/ops/mapper/remove_words_with_incorrect_substrings_mapper.py,,,,
replace_content_mapper,mapper,data_juicer/ops/mapper/replace_content_mapper.py,regex,,core,
s3_download_file_mapper,mapper,data_juicer/ops/mapper/s3_download_file_mapper.py,loguru,boto3; botocore,cloud; core; undeclared_or_transitive,
s3_upload_file_mapper,mapper,data_juicer/ops/mapper/s3_upload_file_mapper.py,loguru,boto3; botocore,cloud; core; undeclared_or_transitive,
sdxl_prompt2prompt_mapper,mapper,data_juicer/ops/mapper/sdxl_prompt2prompt_mapper.py,,data-juicer; diffusers; torch,generic; undeclared_or_transitive; vision,
sentence_augmentation_mapper,mapper,data_juicer/ops/mapper/sentence_augmentation_mapper.py,,torch; transformers,generic,
sentence_split_mapper,mapper,data_juicer/ops/mapper/sentence_split_mapper.py,,,,
text_chunk_mapper,mapper,data_juicer/ops/mapper/text_chunk_mapper.py,pydantic,,core,
text_tagging_by_prompt_mapper,mapper,data_juicer/ops/mapper/text_tagging_by_prompt_mapper.py,,torch; transformers; vllm,generic,
vggt_mapper,mapper,data_juicer/ops/mapper/vggt_mapper.py,pydantic,torch,core; generic,
video_camera_calibration_static_deepcalib_mapper,mapper,data_juicer/ops/mapper/video_camera_calibration_static_deepcalib_mapper.py,numpy; pydantic,opencv-contrib-python; tensorflow==2.20.0,core; undeclared_or_transitive; vision,
video_camera_calibration_static_moge_mapper,mapper,data_juicer/ops/mapper/video_camera_calibration_static_moge_mapper.py,numpy; pydantic,opencv-contrib-python; torch,core; generic; vision,
video_camera_pose_mapper,mapper,data_juicer/ops/mapper/video_camera_pose_mapper.py,numpy; pydantic,opencv-contrib-python; torch,core; generic; vision,
video_captioning_from_audio_mapper,mapper,data_juicer/ops/mapper/video_captioning_from_audio_mapper.py,regex,accelerate; einops; tiktoken; transformers; transformers-stream-generator @ git+https://github.com/datajuicer/transformers-stream-generator.git,core; generic; nlp; undeclared_or_transitive,
video_captioning_from_frames_mapper,mapper,data_juicer/ops/mapper/video_captioning_from_frames_mapper.py,loguru; numpy; pillow; pydantic,simhash-pybind,core; nlp,
video_captioning_from_summarizer_mapper,mapper,data_juicer/ops/mapper/video_captioning_from_summarizer_mapper.py,pydantic,accelerate; einops; tiktoken; torch; torchaudio; transformers; transformers-stream-generator @ git+https://github.com/datajuicer/transformers-stream-generator.git,audio; core; generic; nlp; undeclared_or_transitive,
video_captioning_from_video_mapper,mapper,data_juicer/ops/mapper/video_captioning_from_video_mapper.py,loguru; numpy; pillow; pydantic,simhash-pybind,core; nlp,
video_captioning_from_vlm_mapper,mapper,data_juicer/ops/mapper/video_captioning_from_vlm_mapper.py,loguru; numpy; pydantic,simhash-pybind; vllm,core; generic; nlp,
video_depth_estimation_mapper,mapper,data_juicer/ops/mapper/video_depth_estimation_mapper.py,numpy,easydict; imageio; imageio-ffmpeg; open3d; opencv-contrib-python; torch; xformers,core; generic; undeclared_or_transitive; vision,
video_extract_frames_mapper,mapper,data_juicer/ops/mapper/video_extract_frames_mapper.py,loguru; pillow; pydantic,opencv-contrib-python,core; vision,
video_face_blur_mapper,mapper,data_juicer/ops/mapper/video_face_blur_mapper.py,av; pillow,opencv-contrib-python,core; vision,
video_ffmpeg_wrapped_mapper,mapper,data_juicer/ops/mapper/video_ffmpeg_wrapped_mapper.py,,ffmpeg-python,audio,
video_hand_reconstruction_hawor_mapper,mapper,data_juicer/ops/mapper/video_hand_reconstruction_hawor_mapper.py,numpy; pydantic,chumpy@ git+https://github.com/mattloper/chumpy; lap; omegaconf; opencv-contrib-python; pytorch_lightning; scikit-image; smplx; timm; torch; ultralytics; yacs,core; generic; undeclared_or_transitive; vision,
video_hand_reconstruction_mapper,mapper,data_juicer/ops/mapper/video_hand_reconstruction_mapper.py,pydantic,chumpy@ git+https://github.com/mattloper/chumpy; numpy; opencv-contrib-python; pyrender; pytorch_lightning; scikit-image; smplx==0.1.28; timm; torch; yacs,core; generic; undeclared_or_transitive; vision,
video_object_segmenting_mapper,mapper,data_juicer/ops/mapper/video_object_segmenting_mapper.py,numpy,opencv-contrib-python; torch; ultralytics,core; generic; vision,
video_remove_watermark_mapper,mapper,data_juicer/ops/mapper/video_remove_watermark_mapper.py,av; numpy; pydantic,opencv-contrib-python,core; vision,
video_resize_aspect_ratio_mapper,mapper,data_juicer/ops/mapper/video_resize_aspect_ratio_mapper.py,,ffmpeg-python,audio,
video_resize_resolution_mapper,mapper,data_juicer/ops/mapper/video_resize_resolution_mapper.py,pydantic,ffmpeg-python,audio; core,
video_split_by_duration_mapper,mapper,data_juicer/ops/mapper/video_split_by_duration_mapper.py,numpy,,core,
video_split_by_key_frame_mapper,mapper,data_juicer/ops/mapper/video_split_by_key_frame_mapper.py,loguru,,core,
video_split_by_scene_mapper,mapper,data_juicer/ops/mapper/video_split_by_scene_mapper.py,loguru; pydantic,scenedetect,core; vision,
